epoch,train_loss,auc_roc,auc_pr,acc,f1,lr
1,0.6150265197753906,0.7313447313447314,0.7200105505489158,0.6675,0.6676661669165417,1.8467489107293344e-05
2,0.6133605408668518,0.7313137313137313,0.7199808177377627,0.6675,0.6676661669165417,7.341522555726937e-05
3,0.6153948640823365,0.7313977313977313,0.720020366316901,0.6675,0.6666666666666666,0.00016349021371744814
4,0.6147227821350097,0.7314267314267314,0.7201010290550818,0.667,0.667,0.00028647450843757876
5,0.6150931220054626,0.7313277313277313,0.7200229333442578,0.6665,0.6712666338097585,0.0004393398282201784
6,0.6162789349555969,0.7318717318717319,0.7205239856384315,0.667,0.6643145161290323,0.00061832212156129
7,0.6154280004501342,0.7325617325617325,0.7219064554891461,0.668,0.6598360655737705,0.0008190142503906794
8,0.6146769132614136,0.7323897323897324,0.7218931546913757,0.6655,0.6712530712530712,0.0010364745084375784
9,0.6151562032699585,0.7327567327567329,0.7221028022825735,0.667,0.6643145161290323,0.001265348302439653
10,0.6152100954055786,0.7343547343547343,0.7222900321565285,0.663,0.6686332350049164,0.0014999999999999992
11,0.6145407705307007,0.7345547345547346,0.7232621915559291,0.6685,0.688,0.0017346516975603455
12,0.6129584712982178,0.7357397357397357,0.7243326983032975,0.665,0.6656686626746507,0.0019635254915624204
13,0.6154570183753967,0.7354137354137354,0.7261593337370584,0.6635,0.6660049627791563,0.0021809857496093194
14,0.6115525379180908,0.7374192374192374,0.7267664358493127,0.6765,0.6485605649103748,0.0023816778784387085
15,0.6114802503585816,0.7364422364422365,0.7263608196615965,0.668,0.6745098039215687,0.00256066017177982
16,0.6076579685211182,0.74002574002574,0.7282105038171948,0.674,0.6838021338506305,0.00271352549156242
17,0.6116189107894897,0.7410702410702412,0.7296185978968981,0.6765,0.678589170392449,0.0028365097862825504
18,0.6077849941253662,0.7431127431127431,0.7320326528133345,0.677,0.6659772492244054,0.002926584774442729
19,0.6142899403572083,0.7387337387337387,0.7282083656548541,0.67,0.6696696696696697,0.002981532510892705
20,0.6058480811119079,0.7441597441597441,0.7324218025755402,0.6765,0.6733972741039879,0.0029999999999999988
21,0.604566128730774,0.7418297418297418,0.7295612043965478,0.672,0.6777996070726916,0.0029815325108927056
22,0.6056494212150574,0.743982743982744,0.7306301027399653,0.6725,0.6787641000490436,0.0029265847744427294
23,0.602710629940033,0.7417767417767418,0.7273667937271683,0.669,0.6548488008342023,0.002836509786282551
24,0.6022670540809631,0.7435847435847436,0.7335335234314266,0.6795,0.6610259122157589,0.002713525491562421
25,0.604098051071167,0.7432197432197432,0.7351810512673098,0.676,0.6820412168792934,0.0025606601717798206
26,0.5988308401107788,0.7442587442587443,0.7328447980975968,0.6745,0.6874699951992319,0.0023816778784387094
27,0.5996473073959351,0.7389527389527388,0.724811433998189,0.6715,0.6824552924117931,0.002180985749609319
28,0.5940873808860779,0.737916737916738,0.7258047006241946,0.663,0.6885397412199631,0.001963525491562421
29,0.5943077178001404,0.7424607424607425,0.7337729894936694,0.6715,0.6787286063569682,0.0017346516975603474
30,0.5935068278312683,0.7395362395362395,0.7303106699757093,0.669,0.6548488008342023,0.0014999999999999996
31,0.592194999217987,0.741041741041741,0.7307417551655377,0.6715,0.662557781201849,0.0012653483024396548
32,0.5926021914482117,0.737951737951738,0.7264355873942042,0.667,0.662613981762918,0.0010364745084375786
33,0.5865593776702881,0.7393917393917393,0.7303107401176896,0.6675,0.6534653465346535,0.0008190142503906784
34,0.590122130393982,0.7390227390227391,0.7288802099140599,0.6665,0.6581240389543823,0.0006183221215612901
35,0.5871194953918457,0.7376947376947377,0.7274819135053971,0.6625,0.6536685479733196,0.0004393398282201778
36,0.586354278087616,0.7388677388677389,0.7287145575483231,0.6735,0.6806845965770171,0.0002864745084375789
37,0.5853908557891846,0.7392967392967393,0.7292417714307387,0.67,0.6686746987951807,0.00016349021371744884
38,0.585776671409607,0.7394017394017395,0.7288335243636697,0.6735,0.6797449730259931,7.34152255572698e-05
39,0.5834636363983154,0.7394437394437394,0.7285637001011525,0.672,0.6758893280632411,1.846748910729366e-05
40,0.5827756872177124,0.7394417394417394,0.7286180773342343,0.672,0.6758893280632411,0.0
41,0.5845311193466186,0.7394417394417394,0.7286180773342343,0.672,0.6758893280632411,1.8467489107293344e-05
42,0.5847078137397766,0.7393567393567393,0.7285460899940107,0.672,0.6765285996055227,7.341522555726887e-05
43,0.5820096135139465,0.7395587395587395,0.7285156328698399,0.6725,0.6755819712729074,0.000163490213717447
44,0.5838328332901,0.739006739006739,0.7281587228261468,0.6715,0.6758756783423779,0.0002864745084375759
45,0.58276722240448,0.7384437384437383,0.7269736505560801,0.6725,0.6768623581647756,0.00043933982822017334
46,0.5845669603347778,0.7393907393907395,0.7279662898806696,0.673,0.6775147928994083,0.0006183221215612842
47,0.5834652509689331,0.7385427385427386,0.7268669533403848,0.6655,0.6602336211274759,0.0008190142503906706
48,0.5841048655509948,0.7396027396027397,0.729098297262295,0.6715,0.6749134092033646,0.0010364745084375689
49,0.5838781132698059,0.7381527381527381,0.7281399450674583,0.6685,0.6548672566371682,0.0012653483024396431
50,0.586020079612732,0.7373447373447374,0.725873491904328,0.673,0.6840579710144927,0.001499999999999986
